__time,joint1_position,joint2_position,joint3_position,joint4_position,joint5_position,joint6_position
1664545413.71062,-0.713855,1.873454,0.446857,1.621418,-0.516952,-1.820835
1664545413.73102,-0.701701,1.872345,0.448627,1.61068,-0.49701,-1.802428
1664545413.75093,-0.689381,1.871249,0.450491,1.599942,-0.474,-1.782486
1664545413.77062,-0.676896,1.870127,0.452344,1.589204,-0.452524,-1.764078
1664545413.79088,-0.664348,1.869006,0.454249,1.578466,-0.429515,-1.744136
1664545413.81094,-0.651656,1.867872,0.456185,1.566194,-0.408039,-1.725728
1664545413.83087,-0.638549,1.866694,0.458173,1.555457,-0.385029,-1.707321
1664545413.85096,-0.62508,1.865441,0.460212,1.544719,-0.360485,-1.687379
1664545413.87055,-0.611166,1.864188,0.462241,1.533981,-0.335942,-1.667437
1664545413.89065,-0.597014,1.862891,0.464291,1.520175,-0.311398,-1.644427
1664545413.91098,-0.582655,1.861644,0.466445,1.507903,-0.28532,-1.624486
1664545413.93075,-0.568202,1.86036,0.468619,1.497165,-0.262311,-1.604544
1664545413.95077,-0.553584,1.85905,0.470793,1.483359,-0.236233,-1.583068
1664545413.97067,-0.538779,1.857753,0.473008,1.471088,-0.210155,-1.561592
1664545413.99108,-0.523716,1.856281,0.475338,1.458816,-0.184078,-1.541651
1664545414.01068,-0.508446,1.854946,0.477708,1.446544,-0.158,-1.520175
1664545414.03079,-0.493082,1.853462,0.480027,1.434272,-0.131922,-1.497165
1664545414.04119,-0.485442,1.852641,0.481208,1.426602,-0.118117,-1.484893
1664545414.06095,-0.469913,1.851231,0.483516,1.415864,-0.090505,-1.463418
1664545414.08118,-0.454052,1.849803,0.485918,1.403592,-0.064427,-1.441942
1664545414.10117,-0.43784,1.848305,0.48833,1.391321,-0.03835,-1.418932
1664545414.12085,-0.421327,1.846777,0.490794,1.377515,-0.013806,-1.397457
1664545414.1411,-0.40468,1.845248,0.493289,1.363709,0.012272,-1.377515
1664545414.16083,-0.387981,1.843688,0.495743,1.351437,0.039884,-1.357573
1664545414.18116,-0.370298,1.842065,0.498269,1.342233,0.064427,-1.336097
1664545414.20128,-0.354096,1.840549,0.500743,1.328427,0.088971,-1.313088
1664545414.22087,-0.336869,1.838964,0.5033,1.316156,0.113515,-1.296214
1664545414.2412,-0.31957,1.837398,0.505909,1.303884,0.138058,-1.274738
1664545414.26096,-0.302218,1.835844,0.508539,1.293146,0.161068,-1.254796
1664545414.2913,-0.275819,1.833419,0.512452,1.274738,0.19635,-1.225651
1664545414.30147,-0.266884,1.832592,0.513808,1.270136,0.208621,-1.216447
1664545414.32999,-0.239967,1.830124,0.517774,1.253262,0.243903,-1.188835
1664545414.3502,-0.222036,1.82847,0.520393,1.242525,0.265379,-1.168893
1664545414.36091,-0.213122,1.827624,0.521718,1.236389,0.277651,-1.158156
1664545414.38993,-0.186257,1.825124,0.525673,1.222583,0.309864,-1.133612
1664545414.41051,-0.168264,1.823483,0.528375,1.210311,0.332874,-1.115204
1664545414.42993,-0.150353,1.821828,0.531046,1.199573,0.352816,-1.096796
1664545414.45063,-0.132526,1.820181,0.533696,1.190369,0.374291,-1.081457
1664545414.47042,-0.114574,1.818552,0.536212,1.179631,0.395767,-1.064583
1664545414.49038,-0.096488,1.816948,0.538852,1.170427,0.415709,-1.046175
1664545414.51022,-0.078277,1.815306,0.541678,1.161224,0.437185,-1.029301
1664545414.53051,-0.06015,1.813659,0.544184,1.150486,0.457126,-1.013961
1664545414.55066,-0.042188,1.81208,0.546803,1.141282,0.475534,-0.997088
1664545414.57054,-0.024277,1.810501,0.549443,1.132078,0.495476,-0.981748
1664545414.59083,-0.006419,1.808916,0.552021,1.12134,0.513884,-0.966408
1664545414.61048,0.011357,1.807337,0.554557,1.110602,0.535359,-0.949534
1664545414.63019,0.028864,1.805796,0.557083,1.106,0.552233,-0.935728
1664545414.65054,0.046318,1.804242,0.55962,1.096796,0.570641,-0.917321
1664545414.67018,0.063835,1.802713,0.562166,1.087592,0.587515,-0.905049
1664545414.69036,0.081373,1.801153,0.564672,1.078389,0.604388,-0.889709
1664545414.71049,0.098828,1.799612,0.567208,1.069185,0.622796,-0.877437
1664545414.73019,0.116044,1.798108,0.569765,1.059981,0.638136,-0.863631
1664545414.75023,0.133085,1.796611,0.572291,1.052311,0.65501,-0.848291
1664545414.77028,0.14997,1.795101,0.574755,1.046175,0.671884,-0.83602
1664545414.79065,0.166783,1.79361,0.57723,1.041573,0.688757,-0.822214
